Model,Accuracy,Precision,Recall,F1
Linear SVM,0.9983213965980304,0.9978798586572438,0.9985855728429985,0.9982325910215624
Logistic Regression,0.9917188898836168,0.9889723134678554,0.9936350777934936,0.9912982126058325
Multinomial Naive Bayes,0.960496866606983,0.9589332074581072,0.9578029231494578,0.958367732043873
